,title,type,metro_distance,square,price,floor,floors,district,station
0,合租·地杰国际城F欧香四季4居室-南卧,合租,191,18,3560,14,18,浦东新区,御桥
1,整租·华升公寓2室1厅-南,整租,150,96,9460,20,34,杨浦区,江浦路
2,合租·博爱家园4居室-南卧,合租,234,17,3290,6,6,浦东新区,高科西路
3,合租·紫叶花园东园4居室-南卧,合租,216,17,3030,5,6,浦东新区,北蔡
4,合租·仁和苑4居室-南卧,合租,243,17,3990,7,12,杨浦区,江湾体育场
5,合租·明园森林都市4居室-西卧,合租,686,19,3490,24,34,静安区,汶水路
6,合租·景泰大楼3居室-南卧,合租,444,18,3290,11,18,虹口区,临平路
7,合租·日月新苑4居室-南卧,合租,197,19,2630,3,6,浦东新区,上南路
8,合租·锦秋花园4居室-南卧,合租,150,21,2460,3,6,松江区,上海大学
9,合租·锦秋花园4居室-南卧,合租,150,26,3960,1,3,松江区,上海大学
10,合租·证大家园(二期)4居室-南卧,合租,432,17,3490,3,6,浦东新区,杨高北路
11,合租·协和小区(协和路699弄)4居室-南卧,合租,641,18,2930,4,6,长宁区,淞虹路
12,合租·荣城花苑5居室-南卧,合租,307,19,3960,31,31,浦东新区,浦东大道
13,合租·弘丰新苑3居室-南卧,合租,498,20,3690,2,7,虹口区,东宝兴路
14,合租·协友公寓3居室-南卧,合租,267,18,3790,4,22,杨浦区,江湾体育场
15,合租·协和小区(协和路699弄)4居室-南卧,合租,641,17,3690,4,6,长宁区,淞虹路
16,合租·东方汇景苑3居室-南卧,合租,181,17,3690,9,17,浦东新区,上海儿童医学中心
17,合租·新梅共和城3居室-西南卧,合租,274,17,3360,1,17,静安区,上海马戏城
18,合租·东方城市花园(一期)3居室-南卧,合租,144,14,4490,8,11,浦东新区,上海儿童医学中心
19,合租·锦秋花园4居室-南卧,合租,150,34,3290,1,3,松江区,上海大学
20,合租·锦秋花园4居室-南卧,合租,150,20,2490,1,3,松江区,上海大学
21,合租·云都苑4居室-南卧,合租,531,16,4560,17,24,普陀区,长寿路
22,合租·春岚苑4居室-南卧,合租,187,21,3090,4,7,杨浦区,嫩江路
23,合租·阳光花城3居室-南卧,合租,164,14,4530,2,18,浦东新区,广兰路
24,合租·卓悦居2居室-南卧,合租,268,17,5930,27,37,静安区,汉中路
25,合租·锦秋花园3居室-南卧,合租,150,16,2490,4,6,松江区,上海大学
26,合租·北蔡苑3居室-南卧,合租,191,25,3260,3,5,浦东新区,北蔡
27,合租·金峰大厦4居室-北卧,合租,121,38,4690,1,29,静安区,汉中路
28,合租·恒大星级公寓4居室-南卧,合租,295,18,3360,2,6,浦东新区,东明路
29,合租·万里雅筑4居室-南卧,合租,325,18,2960,12,14,普陀区,上海西
30,合租·建工天峰公寓3居室-南卧,合租,470,16,2890,6,6,虹口区,赤峰路
31,整租·光鸿苑2室1厅-南,整租,975,102,9890,10,16,浦东新区,临沂新村
32,合租·顺馨佳园3居室-南卧,合租,1076,20,2390,5,6,浦东新区,华夏东路
33,合租·金沙雅苑(四期)4居室-南卧,合租,87,18,3760,5,19,普陀区,祁连山南路
34,整租·新华嘉利公寓1室1厅-南,整租,574,86,10790,12,19,长宁区,延安西路
35,合租·潍坊八村2居室-南卧,合租,323,18,3630,2,6,浦东新区,浦电路
36,合租·绿地世纪城(二期)3居室-南卧,合租,279,19,3730,4,11,普陀区,隆德路
37,合租·永泰公寓4居室-南卧,合租,259,21,3990,6,7,黄浦区,打浦桥
38,合租·云都苑4居室-北卧,合租,531,19,3590,5,24,普陀区,长寿路
39,合租·金鼎公寓(浦东)4居室-北卧,合租,196,20,4760,7,12,浦东新区,商城路
40,合租·荣城花苑3居室-南卧,合租,307,18,3960,28,31,浦东新区,浦东大道
41,合租·金沙江小区3居室-南卧,合租,216,18,3360,5,7,普陀区,金沙江路
42,合租·森兰名轩(二期)4居室-南卧,合租,398,19,2590,3,11,浦东新区,东靖路
43,合租·万科海上传奇4居室-南卧,合租,339,21,2990,21,24,浦东新区,御桥
44,合租·潍坊八村2居室-南卧,合租,323,17,3630,5,6,浦东新区,浦电路
45,合租·锦福公寓3居室-南卧,合租,564,18,3960,3,7,静安区,中山北路
46,合租·新中苑3居室-南卧,合租,219,19,4090,16,28,黄浦区,西藏南路
47,合租·掬水轩3居室-南卧,合租,948,19,3430,2,8,虹口区,虹口足球场
48,合租·大华锦绣华城(十九街区)(公寓)4居室-南卧,合租,326,24,3260,6,11,浦东新区,下南路
49,合租·金铭福邸4居室-南卧,合租,133,17,2530,4,6,闵行区,金平路
50,合租·绿地世纪城(二期)3居室-南卧,合租,279,19,3730,12,34,普陀区,隆德路
51,合租·同济融创玫瑰公馆4居室-南卧,合租,868,20,4590,12,12,闵行区,东兰路
52,合租·龙昌苑3居室-南卧,合租,901,23,4030,3,8,浦东新区,芳华路
